番号,構成物質名,引き継ぎ番号,化学式,量,備考
3-15,MgSO₄,1-103,MgSO₄,0.012 g,硫酸マグネシウム。カルシウムと同様に水の硬度調整や酵素活性に影響する。
3-17,乳糖,"1-33, -M7(1-12, 1-42, 1-61, 1-86, 1-76, 1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98)",C₁₂H₂₂O₁₁,8.64 g,牛乳に含まれる糖。パン酵母は分解しにくいため、生地の残糖として焼き色に寄与する。
3-18,カゼイン,1-34,タンパク質一般式,4.50 g,牛乳の主要タンパク質。リン酸カルシウムと結合したミセル構造を形成する。
3-19,β-ラクトグロブリン,1-35,タンパク質一般式,1.44 g,ホエイタンパク質の一つ。熱によって変性し、グルテン網の形成を阻害する可能性がある。
3-19a,ラクトフェリン,1-35,タンパク質,痕跡,牛乳由来。鉄イオンと結合し酸化を抑制。
3-19b,免疫グロブリン,1-35,タンパク質,痕跡,牛乳由来。微量成分。
3-20,α-ラクトアルブミン,1-36,タンパク質一般式,0.36 g,ホエイタンパク質の一つ。β-ラクトグロブリンと同様の役割を持つ。
3-21,パルミチン酸,"1-38, 1-56, 1-84",C₁₆H₃₂O₂,1.80 g,牛乳脂質の主要な飽和脂肪酸。
3-22,オレイン酸,"1-39, 1-59, 1-83",C₁₈H₃₄O₂,11.37 g,不飽和脂肪酸
3-23,ミリスチン酸,"1-40, 1-57",C₁₄H₂₈O₂,3.78 g,飽和脂肪酸。
3-24,ステアリン酸,"1-41, 1-58, 1-85",C₁₈H₃₆O₂,4.17 g,飽和脂肪酸。
3-25,Ca²⁺,"1-13, 1-23, 1-102, 1-43",Ca²⁺,0.216 g,酵素の活性化、グルテン網の強化、ペントサンとの複合体形成に寄与。
3-26,PO₄³⁻,1-44,PO₄³⁻,0.171 g,リン酸イオン。カゼインミセルの安定化に重要。
3-27,K⁺,"1-15, 1-28, 1-104, 1-45",K⁺,0.126 g,酵母の代謝に不可欠なミネラル。
3-28,Mg²⁺,"1-14, 1-25, 1-103, 1-46",Mg²⁺,0.018 g,酵母の代謝に不可欠なミネラル。
3-29,ビタミンB₂,"1-48, +M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₁₇H₂₀N₄O₆,0.36 mg,牛乳に含まれるビタミンと発酵で生成(リボフラビン)。生地の黄色みや風味形成に関与。酵母の成長を助ける。
3-30,ビタミンB₁₂,1-49,C₆₃H₈₈CoN₁₄O₁₄P,1.8 µg,酵母の代謝に不可欠なビタミン。
3-31,ビタミンA,"1-50, 1-69, 1-93",C₂₀H₃₀O,微量 (~0.585 mg),牛乳、バター、卵黄由来のビタミン。脂溶性で生地に均一に分散する。
3-32,乳酸,"1-51, 1-64",C₃H₆O₃,痕跡〜数十 mg,牛乳や発酵バターに含まれる酸。風味に影響する。
3-33,乳酸菌・微生物残存,1-52,—,痕跡,微生物。風味形成に寄与する。
3-34,リパーゼ,"1-53, 1-125, -M7(1-12, 1-42, 1-61, 1-86, 1-76, 1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98)",タンパク質（酵素）,微量,脂質を分解して遊離脂肪酸を生成する酵素。
3-39,リノール酸,"1-60, 1-82",C₁₈H₃₂O₂,1.65 g,不飽和脂肪酸。
3-40,スフィンゴミエリン,1-62,C₃₈H₇₈N₂O₆P,痕跡,バターに含まれるリン脂質の一種。
3-41,短鎖脂肪酸(酪酸等),1-63,C₄H₈O₂,0.30 g,発酵バターの特有の風味成分。
3-42,コレステロール,"1-65, 1-87",C₂₇H₄₆O,0.42 g,バターと卵黄に由来する脂質。
3-43,ジアセチル,1-66,C₄H₆O₂,~0.15 mg,バターの特有の香気成分。
3-44,アセトイン,1-67,C₄H₈O₂,~0.15 mg,ジアセチルの前駆体であり、発酵バターの香気成分。
3-45,酢酸,1-68,C₂H₄O₂,痕跡〜数 mg,バターのわずかな酸味に寄与する。
3-46,ビタミンD₃,"1-70, 1-94",C₂₇H₄₄O,微量 (~0.15 mg),バターと卵黄に由来する脂溶性ビタミン。
3-47,ビタミンE,"1-71, 1-95",C₂₉H₅₀O₂,~60.24 mg,バターと卵黄に由来する抗酸化物質。
3-48,ビタミンK₂,1-72,C₄₁H₅₆O₂,痕跡,バターに含まれる脂溶性ビタミン。
3-49,リポビテリン等（主要タンパク）,1-76,C₄₀₀₀H₆₄₀₀N₁₁₀₀O₁₂₀₀S₅₀ (モデル),7.00 g,卵黄の主要タンパク質。一部はグルテン網形成に関与し、一部は分解される。
3-49a,LDL粒子,1-77,複合体（リポビテリン＋脂質）,~4.0 g,卵黄の主要乳化因子。脂質運搬・乳化作用に大きく寄与。
3-49b,HDL粒子,1-78,複合体（タンパク質＋脂質）,~0.5 g,卵黄に少量存在。補助的に乳化に寄与。
3-50,フォスビチン,1-79,C₂₅₀₀H₄₀₀₀N₆₅₀O₁₀₀₀P₁₀₀,3.00 g,卵黄タンパク質。リンを多く含み、カルシウムなどのミネラルと結合する。
3-51,リベチン,1-80,タンパク質一般式,3.00 g,卵黄の可溶性タンパク質。
3-56,ビタミンK₁,1-96,C₃₁H₄₆O₂,微量,卵黄に含まれるビタミン。
3-57,スクロース,1-97,C₁₂H₂₂O₁₁,29.97 g,粉糖に含まれる二糖類。酵母の栄養源となる。
3-58,添加デンプン,1-99,(C₆H₁₀O₅)ₙ,0.015 g,粉糖の固結防止剤。微量で機能する。
3-59,酵母タンパク質,"×1-110, ×M6(1-110)",タンパク質一般式,1.20 g,酵母を構成するタンパク質。一部は分解されてアミノ酸を供給する。
3-59a,短鎖ペプチド群,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",低分子ペプチド,微量〜数 mg,グルテン分解産物。風味の前駆体。
3-59b,活性化酵母細胞,"M6(1-109, 1-110)",酵母細胞,3.00 g,ドライイーストが水分によって活性化された状態
3-60,酵母グリコーゲン,1-113,(C₆H₁₀O₅)ₙ,0.90 g,酵母の貯蔵炭水化物。活動に必要なエネルギー源。
3-61,酵母トレハロース,1-114,C₁₂H₂₂O₁₁,0.15 g,酵母の安定化を助ける糖。
3-62,酵母脂質,1-115,多様,0.18 g,酵母の細胞膜などを構成する脂質。
3-63,酵母灰分,"1-116, 1-117, 1-118, 1-119",—,0.15 g,酵母のミネラル分。
3-63a,酵母細胞壁多糖,1-120,多糖類,~0.2 g,酵母細胞壁の主要成分。マンナン/β-グルカン、食感・保水性に寄与。
3-64,酵母核酸,1-121,—,0.21 g,酵母の遺伝物質。風味の旨味成分に関与する。
3-64a,イノシン酸,M14(1-121),C₁₀H₁₂N₄O₈P,痕跡,酵母代謝由来。旨味を補強。
3-64b,グアニル酸,M14(1-121),C₁₀H₁₂N₅O₈P,痕跡,酵母代謝由来。旨味相乗効果を持つ。
3-65a,α-アミラーゼ,"1-122, -M9a(1-3)",Protein (enzyme),微量（作用量に依存）,小麦と酵母由来の各種酵素。デンプン、タンパク質、脂質の分解を触媒する。
3-65b,β-アミラーゼ,"1-123, -M9b(1-3)",Protein (enzyme),微量,小麦と酵母由来の各種酵素。デンプン、タンパク質、脂質の分解を触媒する。
3-65c,プロテアーゼ,"1-124, -M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",Protein (enzyme),微量,小麦と酵母由来の各種酵素。デンプン、タンパク質、脂質の分解を触媒する。
3-66a,グルタミン酸,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₅H₉NO₄,数十 mg,旨味成分として直接味に寄与。酵母の代謝にも利用。
3-66b,バリン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₅H₁₁NO₂,数 mg,苦味を持ち、メイラード反応で香り前駆体となる。
3-66c,ロイシン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₆H₁₃NO₂,数 mg,苦味寄与。加熱により風味物質に変化。
3-66d,イソロイシン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₆H₁₃NO₂,数 mg,苦味寄与。香り物質の前駆体。
3-66e,フェニルアラニン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₉H₁₁NO₂,数 mg,芳香族アミノ酸。ベンゼン環系香気物質の前駆体。
3-66f,リジン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₆H₁₄N₂O₂,数 mg,メイラード反応で強く関与し、焼き色と香ばしさに寄与。
3-66g,トリプトファン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₁₁H₁₂N₂O₂,数 mg,香りと苦味の前駆体。加熱により特有の風味を生成。
3-66h,ヒスチジン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₆H₉N₃O₂,数 mg,苦味寄与。加熱によりイミダゾール系風味物質の前駆体。
3-66i,メチオニン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₅H₁₁NO₂S,数 mg,硫黄を含み、加熱で揮発性硫黄化合物を生成し風味に寄与。
3-66j,トレオニン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₄H₉NO₃,数 mg,甘味寄与。加熱で香ばしさの前駆体にもなる。
3-66k,アラニン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₃H₇NO₂,数 mg,甘味を持ち、メイラード反応に参加。
3-66l,セリン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₃H₇NO₃,数 mg,わずかな甘味寄与。加熱で香り前駆体。
3-66m,アスパラギン酸,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₄H₇NO₄,数 mg,酸味寄与。加熱によりピラジン系香気の前駆体。
3-66n,アスパラギン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₄H₈N₂O₃,数 mg,苦味寄与。アクリルアミド生成に関与。
3-66o,グリシン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₂H₅NO₂,数 mg,甘味寄与。小分子でメイラード反応に敏感。
3-66p,チロシン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₉H₁₁NO₃,数 mg,芳香族。加熱でフェノール系香りを生成。
3-66q,プロリン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₅H₉NO₂,数十 mg,苦味と独特の風味寄与。グルテン構造にも影響。
3-66r,ビタミンB₁（チアミン）,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₁₂H₁₇N₄OS,痕跡,酵母や小麦由来。発酵促進、加熱で香気形成に寄与。
3-66t,ナイアシン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₆H₅NO₂,痕跡,酵母由来。発酵や香気生成に寄与。
3-66u,グルタチオン,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",C₁₀H₁₇N₃O₆S,微量,小麦由来の還元性ペプチド。生地粘弾性を調整。
3-66v,アミロース断片,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",多糖断片,微量,でんぷん分解で生じ、食感や甘味に寄与。
3-66w,アミロペクチン断片,"M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80)",多糖断片,微量,発酵や焼成でマルトース生成に関与。保水性に寄与。
3-67,酸化グルテン複合体,"M11(1-4, 1-5)",タンパク質-S-S-タンパク質,微量,グルテニン分子が酸化によりS-S結合を形成した複合体。グルテン網を強化する。
3-67d,システイン,"1-20, +M14(1-4, 1-5, 1-6, 1-34, 1-35, 1-36, 1-76, 1-80), -M18(1-4, 1-5)",C₃H₇NO₂S,微量,含硫アミノ酸。グルテン調整の還元剤として消費される。
3-67e,シスチン,M18(1-20),(C₃H₆NO₂S)₂,痕跡,システインがグルテン調整反応で酸化されて生成するジスルフィド結合を持つアミノ酸。
3-67f,デヒドロアスコルビン酸,M16(1-21),C₆H₆O₆,微量,アスコルビン酸が酸化されて生成。グルテンのS-S結合形成を促進し、生地の弾力性を高める。
3-67g,アマドリ化合物,"M15(1-18, 1-19)",R'-NH-CH₂-CH(OH)-R,痕跡,初期メイラード反応R10生成物。焼成時の色と香りの前駆体。
3-68,マルトース,"M9a(1-3, 3-65a), M9b(1-3, 3-65b)",C₁₂H₂₂O₁₁,微量,アミラーゼがデンプンを分解して生成する二糖類。酵母の主要な栄養源。
3-69,乳化脂質ミセル,"M7(1-10, 1-12, 1-37, 1-42, 1-55, 1-61, 1-76, 1-81, 1-86, 1-1, 1-22, 1-32, 1-54, 1-75, 1-98)",乳化脂質複合体,22.50 g,レシチンなどが脂質を包み、水中に安定分散させた粒子。生地のきめ細かさに関わる。
3-70,ペントサン–ミネラル複合体,"M8(1-43, 1-46, 1-7)",多糖類-イオン複合体,数百 mg,ペントサンがミネラルと結合して形成した複合体。生地の安定性を高める。
3-71,水和ペントサン,"M10(1-1, 1-7, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98)",(C₅H₈O₄)ₙ·H₂O,数 g,ペントサンが水を吸収して膨らんだ状態。粘性を向上させ、生地の安定に寄与。
3-72,初期グルテン網,"M2(1-4, 1-5, 1-1, 1-109, 1-22, 1-101, 1-32, 1-54, 1-75, 1-98), -M13(3-72, 1-100), -M11(3-72, 1-4, 1-5), -M18(3-72, 1-20)",タンパク質ネットワーク,33.00 g,酵母発酵初期のグルテニンとグリアジンが形成した主要な骨格構造。後続の化学反応で消費・変化する。
3-72a,Na+強化グルテン網,"M13(3-72, 3-13a), +M13(3-72b, 3-13a), +M13(3-72c, 3-13a), -M11(3-72a, 1-4, 1-5), -M18(3-72a, 1-20)",タンパク質ネットワーク,微量（変化分）,グルテン網にM13が作用し、Na+の影響を受けた状態。
3-72b,S-S結合強化グルテン網,"M11(3-72a, 1-4, 1-5), +M11(3-72, 1-4, 1-5), +M11(3-72c, 1-4, 1-5), -M13(3-72b, 1-100), -M18(3-72b, 1-20)",タンパク質ネットワーク,微量（変化分）,グルテン網にM11が作用し、S-S結合が強化された状態。
3-72c,システイン調整グルテン網,"M18(3-72b, 1-20), +M18(3-72, 1-20), +M18(3-72a, 1-20), -M11(3-72c, 1-4, 1-5), -M13(3-72c, 1-100)",タンパク質ネットワーク,微量（変化分）,グルテン網にM18が作用し、システインによる構造調整が行われた状態。
3-73,インベルターゼ,1-111,Protein (enzyme),微量,スクロースをブドウ糖と果糖に分解する酵素
3-74,チマーゼ,1-112,Protein (enzyme),微量,ブドウ糖をエタノールと二酸化炭素に分解する酵素
