年カテゴリ,年代,タイトル,説明,緯度,経度,画像
-1600,前16世紀,線文字B使用,ギリシアで線文字Ｂが使用され始める（前12世紀まで）、ヴェントリスが解読。,37.9908,23.7184,none
-1600,1595bc,ヒッタイト滅亡,ヒッタイトがバビロン第一王朝を滅ぼす。,32.5364,44.4207,none
-1600,前16世紀中,殷の興起,殷（商）興る、甲骨文字、青銅器の使用。,34.2748,117.1943,none
-1600,1550bc,カッシート王国,カッシート、メソポタミア南部に王国建設。,32.5364,44.4207,none
-1600,1542bc,新王国ヒクソス撃退,エジプト新王国、ヒクソスを撃退。,30.0444,31.2357,none
-1500,1500bc,ヴェーダ時代開始,アーリヤ人がカイバル峠を越えてパンジャーブに移動、先住民ドラヴィダ人を圧迫、ヴェーダ時代（『リグ＝ヴェーダ』で伝えられる時代）が始まる（～前600年頃まで）。,31.5497,74.3436,none
-1500,1486bc,トトメス３世遠征,エジプト新王国のトトメス３世、領土を西アジアに広げる。,30.0444,31.2357,none
-1400,1440bc,ミタンニ栄える,ミタンニ、メソポタミア北部で栄える。,36.3379,37.1212,none
-1400,1400bc,殷墟都とする,殷、殷墟を都とする。,35.0836,114.3765,none
-1400,1364bc,アマルナ革命,アメンホテプ４世、テル＝エル＝アマルナに遷都、アマルナ革命。,27.6469,30.8986,none
-1400,1346bc,ツタンカーメン即位,ツタンカーメン王が即位。,27.1764,31.1837,none
-1300,前13世紀,出エジプト,ヘブライ人（ユダヤ人）、モーセに率いられて出エジプトか。,29.5875,34.9338,none
-1300,前13世紀,トロイア戦争,トロイア戦争、トロイア遺跡。,39.9574,26.2384,none
-1300,1286bc,カデシュの戦い,エジプト新王国ラメセス２世、ヒッタイトとカデシュの戦い、最古の講和条約が成立。,34.5542,36.4922,none
-1200,1200bc,ガンジス進出,アーリヤ人がガンジス川流域に進出、都市国家を建設。,25.3176,82.9739,none
-1200,1200bc,アラム人定住,アラム人、シリアに定住、ダマスクス建設、アラム文字を使用。,33.5138,36.2765,none
-1200,1200bc,フェニキア都市建設,フェニキア人、シドン・ティルスなどの都市を建設。,33.5608,35.3756,none
-1200,1200bc,海の民侵攻,海の民、ギリシアに侵攻、エーゲ文明衰える。,37.9908,23.7184,none
-1200,1200bc,ヒッタイト滅亡,ヒッタイト、海の民の侵入によってこの頃滅亡。,39.9208,32.8541,none
-1200,1200bc,オルメカ文明誕生,北米大陸、メキシコ湾岸にオルメカ文明成立。,18.1212,-94.4212,none
-1000,1200-800bc,ギリシア暗黒時代,ギリシアの暗黒時代　→　鉄器の使用広がる。,37.9908,23.7184,none
-1200,前12世紀,カナーン人,ペリシテ人、パレスチナに入る　→　カナーン人。,31.7683,35.2137,none
-1200,1155bc,エラム人侵攻,イランのエラム人、カッシート王国を滅ぼす。,32.6806,48.8766,none
-1100,1100bc,ドーリア人定住,この頃までにドーリア人がギリシアに南下し定住。,37.9908,23.7184,none
-1100,1069bc,新王国滅亡,海の民の侵入によりエジプト新王国滅びる　→　エジプト末期王朝。,30.0444,31.2357,none
-1100,前11世紀,アルファベット実用化,この頃、フェニキア人、アルファベットを実用化する。,33.5608,35.3756,none
-1000,1024bc,殷滅び封建制,周、殷を倒す、易姓革命、都鎬京　→　封建制を採る。,34.2597,108.947,none
-1000,1003bc,ダヴィデ即位,ヘブライ王国、ダヴィデ王が即位。,31.7683,35.2137,none
-1000,1000bc,ガンジス都市建設,アーリア人、ガンジス川流域に進出。,25.3176,82.9739,none
-1000,1000bc,チャビン文化誕生,南米大陸アンデス山地にチャビン文化興る、アンデス文明の始まり。,-9.0596,-77.6421,none
-1000,997bc,ヘブライ都建設,ヘブライ王国、都イェルサレムを建設。,31.7683,35.2137,none
-1000,960bc,ソロモン王即位,ヘブライ王国、ソロモン王が王位を継承し栄華を極めたという。,31.7683,35.2137,none
-1000,922bc,イスラエル分裂,この頃、ヘブライ王国、イスラエル王国とユダ王国が分かれる。,31.7683,35.2137,none
-1000,900BC,アッシリア戦車活躍,メソポタミア北部でアッシリアが有力になる。戦車を使用。,36.3379,37.1212,none
-900,814BC,カルタゴ建設,フェニキア人の都市国家ティルスがカルタゴを建設。,36.834,10.24,none
-900,800BC,ヴァルナ制成立,インドでヴァルナ制が成立。→カースト制度。,20.5937,78.9629,none
-900,800BC,バラモン教深化,インドでバラモン教が深化。,20.5937,78.9629,none
-900,800BC,ポリス形成進む,ギリシアでポリスの形成進む。シノイキスモス進む。,37.9908,23.7184,none
-900,800BC,アテネ建設,イオニア人が都市国家アテネを建設。,37.9908,23.7184,none
-900,800BC,ホメロス叙事詩,ホメロスの『イリアス』・『オデュッセイア』が成立。,37.9908,23.7184,none
-800,776BC,古代五輪開催,最初の古代オリンピック開催。,37.6374,21.6265,none
-800,770BC,周東遷し春秋時代,この頃、周の東遷。洛邑に遷都（これ以降を東周）。春秋時代が始まる。,34.677,112.4688,none
-800,753BC,ローマ建国伝説,ロムルスによるローマの建国（伝承）。イタリア人・ラテン人。,41.9028,12.4964,none
-800,733BC,シラクサ建設,シチリア島にギリシア人殖民市シラクサ建設。,37.0852,15.2736,none
-800,732BC,ティグラト遠征,アッシリア帝国、ティグラト＝ピラセル３世、シリア・パレスティナに進出。,33.5138,36.2765,none
-800,729BC,アッシリア統一,アッシリア帝国、バビロンを征服し、メソポタミアを統一。,32.5364,44.4207,none
-800,722BC,『春秋』始まる,『春秋』 の記述、この年から始まる。,34.677,112.4688,none
-800,722BC,イスラエル滅亡,イスラエル王国、アッシリアに滅ぼされる。,31.7683,35.2137,none
-700,700BC,ヘシオドス著作,この頃、ヘシオドス、『労働と日々』などを著作。,37.9908,23.7184,none
-700,700BC,ギリシア植民活動,この頃、ギリシア人、植民活動盛んに行い、アルファベットの使用広がる。,37.9908,23.7184,none
-700,650BC,スパルタ軍国制,スパルタでリュクルゴスの制が形成され軍国主義がとられる。,37.0735,22.4298,none
-700,683BC,アテネ貴族政,アテネでアルコンの任期が一年となり貴族政（共和政）となる。,37.9908,23.7184,none
-700,679BC,斉の桓公覇者,斉の桓公、尊王攘夷を唱え、覇者となる。春秋の五覇。,36.6881,118.1009,none
-700,668BC,アッシュール即位,アッシリア帝国のアッシュール＝バニパル王が即位。都ニネヴェ。,36.3605,43.1621,none
-700,668BC,ビザンティオン建設,ギリシア人、植民都市ビザンティオンを建設。,41.0082,28.9784,none
-700,663BC,アッシリア統一帝国,アッシリア帝国がエジプトを征服。オリエントを統一。世界帝国の出現。,30.0444,31.2357,none
,659BC,秦穆公勢力拡大,秦の穆公、西方に勢力を伸ばす。,34.2646,108.9542,none
-700,637BC,宋襄王敗北,宋の襄王、覇を唱えるも楚と戦って敗れる。,33.7182,114.6402,none
-700,632BC,晋文公覇者,晋の文公、覇者となる。,37.8575,112.5585,none
,632BC,キュロン失敗,アテネのキュロン、僭主となろうとして失敗。,37.9908,23.7184,none
-700,621BC,ドラコン立法,アテネでドラコンの立法。,37.9908,23.7184,none
,616BC,ローマ王政期,ローマでエトルリア人による王政が行われる。,41.9028,12.4964,none
-700,612BC,アッシリア滅亡,アッシリア帝国滅亡。メソポタミアに新バビロニア王国（都バビロン）、イラン高原にメディア王国（都エクバタナ）、小アジアにリディア王国（都サルデス）、エジプトは末期王朝。,32.5364,44.4207,none
,604BC,新バビロニア成立,新バビロニア王国、ネブカドネザル２世が即位。,32.5364,44.4207,none
,700BC,リディア貨幣使用,リディア王国で貨幣使用が始まる。,38.4735,28.0474,none
,6-3世紀BC,諸子百家活動,中国で諸子百家が盛んに活動。,,,none
,6-5世紀BC,スキタイ全盛期,スキタイの全盛期となる。,,,none
,6世紀BC,コーサラ・マガダ興起,コーサラ国・マガダ国などが北インドに興る。,20.5937,78.9629,none
-600,597BC,楚荘王中原進出,楚の荘王、中原に進出。,30.5461,114.3419,none
-600,594BC,ソロン改革開始,アテネでソロンの改革。財産政治。,37.9908,23.7184,none
-600,586BC,バビロン捕囚,ユダ王国、新バビロニアに滅ぼされる。バビロン捕囚。ユダヤ教が成立。,31.7683,35.2137,none
,585BC,自然哲学栄える,イオニア自然哲学が栄える。,37.0333,27.4306,none
,585BC,タレース日蝕予測,ミレトスのタレース、日蝕を予測。,37.0333,27.4306,none
-600,563BC-483BC,仏教興る,この頃ガウタマ＝シッダールタ（463-363BC説も有力）、仏教を興す。,27.2046,77.4977,none
-600,559BC,キュロス即位,イラン人のアケメネス朝ペルシア、キュロス２世が即位。,32.4279,53.688,none
-600,552BC,孔子誕生,孔子、魯で生まれる（-479BC）。,35.7126,117.0021,none
,550BC,メディア滅亡,キュロス２世がメディア王国を滅ぼす。,34.8006,48.5167,none
-600,550BC,貨幣鋳造開始,リディア王国で貨幣の鋳造が始まる。,38.4735,28.0474,none
,549BC-477BC,ジャイナ教誕生,ヴァルダマーナがジャイナ教を興す。,22.5726,88.3639,none
,546BC,リディア滅亡,アテネでペイシストラトス、僭主政を行う（-528BC）。アケメネス朝、リディア王国を滅ぼす。,37.9908,23.7184,none
,540BC,メロエ遷都,ナイル上流のクシュ王国、都をメロエに移す。,16.3172,36.2074,none
-600,538BC,新バビロニア滅亡,アケメネス朝、新バビロニアを滅ぼす。キュロス２世、ユダヤ人をバビロン捕囚から解放。,32.5364,44.4207,none
-600,525BC,エジプト征服,アケメネス朝ペルシアのカンビュセス２世、エジプトを征服。オリエントを統一。,30.0444,31.2357,none
,522BC,ダレイオス全盛期,アケメネス朝、ダレイオス１世が即位。全盛期となり、都ペルセポリス・スサを造営。ゾロアスター教を保護する。,29.9353,52.8913,none
-600,509BC,ローマ貴族共和政,ローマでエトルリア人の王を追放し、貴族共和政となる。コンスルが置かれる。,41.9028,12.4964,none
,508BC,クレイステネス改革,アテネでクレイステネスの改革。五百人評議会設置。オストラシズムの制度始まる。,37.9908,23.7184,none
,500BC,イオニアの反乱,ミレトスなどでイオニアの反乱が起き、ペルシア戦争始まる。,37.0333,27.4306,none
,500BC,マガダ国台頭,この頃、マガダ国が有力となる。都パータリプトラ。,25.6093,85.1238,none
,500BC,ウパニシャッド哲学,インドでこの頃までにウパニシャッド哲学がまとめられる。,20.5937,78.9629,none
,5世紀BC,枢軸時代開始,枢軸時代といわれる（ヤスパースの提唱）。,,,none
,5世紀BC,ドンソン文化栄える,ベトナム北部でドンソン文化が栄える。銅鼓。ベトナム中南部では漁猟文化であるサーフィン文化が栄える。,16.4637,107.59,none
-500,494BC,呉越戦争,呉王夫差、越王勾践を破る。ローマで聖山事件が起こる。平民会と護民官を設置。,31.6142,120.7326,none
,492BC,聖山事件発生,ペルシア帝国のダレイオス１世、ギリシア侵攻。第１回ペルシア戦争。,34.8006,48.5167,none
-500,490BC,ペルシア戦争開始,第２回ペルシア戦争。マラトンの戦いでペルシア軍敗れる。,38.1422,24.0054,none
,481BC,『春秋』終わる,『春秋』、記述この年まで。,,,none
-500,480BC,墨子誕生,この頃中国の魯国に墨子が生まれる。,35.7126,117.0021,none
,480BC,クセルクセス侵攻,ペルシア帝国のクセルクセス１世、ギリシア侵攻。第３回ペルシア戦争。,34.8006,48.5167,none
-500,480BC,テルモピュライの戦い,8月テルモピュライの戦いでスパルタ軍全滅。レオニダス戦死。,38.8003,22.5333,none
-500,480BC,サラミス海戦,9月サラミスの海戦で三段櫂船主力のアテネ海軍が勝利。テミストクレスの活躍。,37.9908,23.7184,none
,479BC,プラタイア勝利,7月第４回ペルシア戦争。プラタイアの戦いでポリス連合軍が勝利。,38.2911,23.2733,none
-500,479BC,孔子没す,孔子没す。,35.7126,117.0021,none
-500,478BC,デロス同盟結成,アテネ中心の諸ポリス、デロス同盟結成。,37.9908,23.7184,none
,473BC,越呉滅ぼす,越王勾践、呉を滅ぼす。,30.2456,120.1807,none
,453BC,晋三分裂,晋が韓・魏・趙に分裂。事実上の戦国時代の始まり。,35.6586,112.4245,none
,451BC,市民権法制定,アテネで市民権法制定される。,37.9908,23.7184,none
-500,450BC,十二表法成立,ローマで十二表法制定される。共和政の形成進む。,41.9028,12.4964,none
,449BC,カリアスの和約,アテネとペルシアの間でカリアスの和約成立。ペルシア戦争終わる。,37.9908,23.7184,none
,445BC,カヌレイウス法,ローマでカヌレイウス法が制定される。,41.9028,12.4964,none
-500,443BC,ペリクレス全盛期,アテネ、ペリクレス時代。民主政の全盛期となる。,37.9908,23.7184,none
,432BC,パルテノン再建,フェイディアス、アテネのパルテノンを再建。,37.9908,23.7184,none
-500,431BC-404BC,ペロポネソス戦争,ペロポネソス戦争始まる。ペロポネソス同盟成立。,37.9908,23.7184,none
,429BC,ペリクレス死去,ペリクレス死去。アテネでデマゴーゴスによる衆愚政治が行われる。ポリスの衰退始まる。,37.9908,23.7184,none
,425BC,衆愚政治開始,この頃歴史家ヘロドトス死去（420BCとも）。,37.9908,23.7184,none
,413BC,シラクサ遠征失敗,アテネ軍のシラクサ遠征、失敗する。,37.0704,15.2866,none
,411BC,「女の平和」初演,アテネでアリストファネスの「女の平和」初演される。,37.9908,23.7184,none
,404BC,ペロポネソス敗北,ペロポネソス戦争、アテネの敗北に終わる。ポリスの衰退始まる。,37.9908,23.7184,none
,403BC,戦国時代開始,韓・魏・趙が諸侯と認められる。戦国時代の開始。,35.6586,112.4245,none
,403BC-221BC,七雄競争,戦国の七雄、富国強兵を競う。韓・魏・趙・斉・燕・楚・秦。,35.6586,112.4245,none
,401BC,クセノフォン退却,アテネのクセノフォン、傭兵を率いてペルシアに赴くも、退却。,37.9908,23.7184,none
,400BC,トゥキディデス没,この頃歴史家トゥキディデス死去。,37.9908,23.7184,none
-400,399BC,ソクラテス死刑,ソクラテス、裁判で死刑となる。,37.9908,23.7184,none
,395BC,コリント戦争,コリントなどとスパルタとの間でコリント戦争起きる。,37.9378,22.9322,none
-400,387BC,プラトン、アカデメイア開設,プラトンがアテネにアカデメイアを開設。,37.9908,23.7184,none
,386BC,大王の和約成立,アケメネス朝ペルシアが仲介し、大王の和約が成立。,34.8006,48.5167,none
-400,372BC,孟子誕生,孟子が生まれる。,35.7126,117.0021,none
-400,371BC,テーベ覇権、エパミノンダス活躍,テーベ、スパルタを破り、ギリシアの覇権を握る。エパミノンダス活躍。,38.3269,23.7651,none
,367BC,リキニウス法制定,ローマでリキニウス・セクスティウス法制定。,41.9028,12.4964,none
,359BC,商鞅改革開始,秦の孝公、商鞅を登用。什伍の制など改革を開始。,34.7466,109.8383,none
,350BC,咸陽遷都,秦の孝公、咸陽に遷都。,34.3439,108.7052,none
,350BC,ナンダ朝成立,インドのマガダ国にナンダ朝が起こる。,25.6093,85.1238,none
,347BC,プラトン死去,プラトン死去。,37.9908,23.7184,none
,343BC-290BC,サムニウム戦争勝利,ローマ、3次にわたるサムニウム戦争でイタリア中部を制圧。,41.9028,12.4964,none
-400,338BC,カイロネイアの戦い,マケドニアのフィリッポス２世、カイロネイアの戦いでアテネ・テーベ連合軍を破る。,38.4378,23.0732,none
-400,337BC,コリントス同盟成立,マケドニアがギリシアの諸ポリスとコリントス同盟を結成。,40.6401,22.9444,none
,336BC,フィリッポス暗殺,フィリッポス２世、暗殺される。,40.6401,22.9444,none
-400,334BC 5,アレクサンドロス東方遠征,アレクサンドロス、東方遠征を開始。,40.6401,22.9444,none
-400,334BC,グラニコス河の戦い,アレクサンドロス、小アジアでグラニコス河の戦い。,39.6339,27.9235,none
,333BC,イッソスの戦い,アレクサンドロス、イッソスの戦いでペルシア軍を破る。,36.9375,36.1958,none
-400,331BC,アレクサンドリア建設,アレクサンドロス大王、エジプトにアレクサンドリアを建設。,31.2001,29.9187,none
,331BC 10,アルベラの戦い,アルベラの戦い（ガウガメラの戦い）、ペルシア帝国のダレイオス３世敗走。,36.35,43.1167,none
,330BC,ペルセポリス焼き討ち,アレクサンドロス大王、ペルセポリスを焼き討ち。,29.9342,52.8915,none
,330BC,ペルシア滅亡,ダレイオス３世殺害され、ペルシア帝国の滅亡。,35.4622,51.066,none
,327BC,インド侵入,アレクサンドロス大王のインド侵入。,30.3753,69.3451,none
,324BC,スサの集団結婚式,スサでアレクサンドロスの集団結婚式を挙行。,32.1942,48.243,none
,323BC 6/10,アレクサンドロス死去,アレクサンドロス大王、バビロンで死去。,32.5373,44.4209,none
-400,323BC-276BC,ディアドコイ戦争開始,ディアドコイ戦争始まる。ヘレニズム三国が分立。,40.6401,22.9444,none
,322BC,アリストテレス死去,アリストテレス死去。,37.9908,23.7184,none
,317BC,マウリヤ朝成立,インドのチャンドラグプタ、マウリヤ朝を興す。都パータリプトラ,25.6093,85.1238,none
,312BC,アッピア街道建設開始,ローマ、アッピア街道の建設開始。,41.9028,12.4964,none
,305BC,セレウコス撃退,セレウコス朝シリア、インドに侵入、チャンドラグプタに撃退される。,25.6093,85.1238,none
,304BC,プトレマイオス朝自立,プトレマイオス朝エジプト（都アレクサンドリア）自立する。,31.2001,29.9187,none
,301BC,イプソスの戦い終結,イプソスの戦いでディアドコイの争い終わる。,38.75,30.55,none
-300,300BC,アンティオキア建設,セレウコス朝シリア、都アンティオキアを建設。,36.2021,37.1342,none
,,『実利論』著す,マウリヤ朝の宰相カウティリヤ『実利論』を著す。,25.6093,85.1238,none
,290BC,サムニウム戦争終結,サムニウム戦争終わり、ローマが半島中部を制覇。,41.9028,12.4964,none
-300,289BC*,孟子死去、荀子誕生,孟子が死去。荀子が生まれる。,34.2167,117.1415,none
-300,287BC,ホルテンシウス法成立,ローマでホルテンシウス法が制定された。,41.9028,12.4964,none
,279BC,ピュロスの勝利,エペイロス王ピュロス、アスクルムの戦いでローマ軍を破る。（「ピュロスの勝利」）,42.4872,14.1099,none
,276BC,マケドニア建国,アンティゴノス朝マケドニア建国。,40.6401,22.9444,none
-300,272BC,ローマ半島統一,タレントゥムが降り、ローマの半島統一終わる。,40.4779,17.2297,none
-300,268BC,アショーカ即位,マウリヤ朝アショーカ王が即位。～232BC*　→　仏典結集など、仏教保護。,25.6093,85.1238,none
-300,264BC,第１回ポエニ戦争,ローマとカルタゴのポエニ戦争始まる。（第１回～241BC）,41.9028,12.4964,none
,260BC*,長平の戦い,秦と趙の長平の戦い。,37.5483,112.4599,none
,256BC*,秦、東周滅亡,秦が東周を滅ぼす（249BC説もあり）。,34.2167,108.9,none
,255BC*,バクトリア自立,バクトリアがシリアから自立。,36.7529,67.1233,none
,247BC,秦の政王即位,秦で政王が即位（後の始皇帝）。,34.2167,108.9,none
,247BC*,パルティア建国,アルサケス、パルティアを建国。都ヘカトンピュロス。中国で、安息国として知られる。,36.695,54.5749,none
,241BC,ペルガモン成立,ペルガモン王国、成立。,39.0578,27.1806,none
-300,240BC*,仏教スリランカ伝来,マウリヤ朝アショーカ王の時、スリランカに仏教が伝えられる。,7.8731,80.7718,none
-300,227BC,ローマ、シチリア属州化,ローマ、シチリアを最初の属州とする。,37.5999,14.0154,none
,221BC,始皇帝、中国統一,秦の始皇帝、中国を統一。都は咸陽。,34.3291,108.7086,none
,218BC,第２回ポエニ戦争,第２回ポエニ戦争始まる（～201BC）。カルタゴのハンニバルがイタリア半島に侵攻。,41.9028,12.4964,none
,216BC,カンネーの戦い,カンネーの戦いでカルタゴのハンニバルが勝利。,41.5012,15.1172,none
,214BC,万里の長城修築,始皇帝、万里の長城を修築。同年、南海郡などを置く。,40.4319,116.5704,none
,214BC,マケドニア戦争開始,ローマ、マケドニアに出兵。マケドニア戦争始まる（～205BC）。,40.6401,22.9444,none
,213BC,焚書・坑儒命令,始皇帝、李斯の策を入れて焚書・坑儒を命じる。儒学・儒教の弾圧。,34.3291,108.7086,none
,212BC,シラクサ攻撃,ローマ軍、シラクサを攻撃。この時アルキメデスが戦死。,37.0866,15.2843,none
,209BC 7,陳勝・呉広の乱,陳勝・呉広の乱起きる。,33.7311,112.4937,none
,209BC,楚漢戦争開始,項羽、劉邦も挙兵。,34.3416,108.9398,none
,209BC*,冒頓単于権力掌握,匈奴の冒頓単于、父を殺し権力握る。,43.8333,113.5,none
-300,206BC,秦滅亡、漢建国,秦が滅亡。項羽は楚王、劉邦は漢王となる。,34.3291,108.7086,none
,205BC 10,楚漢戦争,劉邦と項羽の楚漢戦争始まる。,34.3416,108.9398,none
,205BC,属州ヒスパニア,ローマ、イベリア半島に属州ヒスパニアを置く。,40.4168,-3.7038,none
,203BC,南越国自立,中国南部からベトナムにかけて、南越国が自立。,21.0285,105.8542,none
-300,202BC,垓下の戦い,垓下の戦いで劉邦が項羽を破る。劉邦が皇帝となり、漢の高祖。郡国制をしく。,34.3416,108.9398,none
,202BC,ザマの戦い,ザマの戦い、スキピオ指揮のローマ軍が勝利。,36.467,9.7936,none
-200,200BC 2,漢、長安に都移す,漢、都を長安に移す。,34.3416,108.9398,none
-200,200BC,冒頓単于、漢軍撃破,匈奴を率いた冒頓単于、漢の高祖の軍を破る。,43.8333,113.5,none
,200BC,バクトリア、北西インド侵入,バクトリアが北西インドに侵入。,36.7529,67.1233,none
-200,196BC,ロゼッタ石作成,エジプトでロゼッタ＝ストーン作成される。神聖文字（ヒエログリフ）,31.2001,29.9187,none
,195BC,衛満、衛氏朝鮮建国,衛満、衛氏朝鮮を建国。,39.0391,125.7625,none
-200,190BC,漢、都長安完成,漢の都長安が完成する。,34.3404,108.9402,none
,180BC,マウリヤ朝滅亡,インドのマウリヤ朝が滅亡。インドは分裂期に入る。,25.5952,91.1846,none
-200,171BC,パルティア全盛期,パルティア、ミトラダテス１世即位。全盛期となる。,38.4109,46.2947,none
-200,168BC,マケドニア滅亡,ピュドナの戦い敗れたマケドニア王国が滅亡。後にローマの属州とされる。,40.9789,22.5553,none
-200,166BC,マカベア戦争開始,ユダヤ人、セレウコス朝からの自立を求めマカベア戦争を戦う。,31.7683,35.2137,none
,155BC,バクトリア全盛期,バクトリアのメナンドロス王の許で全盛期に。,37.7852,69.2118,none
,154BC,呉楚七国の乱鎮定,呉楚七国の乱を漢が鎮定。,32.071,118.7093,none
-200,149BC,第３回ポエニ戦争,第３回ポエニ戦争（～146BC）。スキピオ（小）率いるローマ軍は、カルタゴを破壊、属州アフリカとする。コリントを征服。属州マケドニア設置。,36.8619,-4.3036,none
-200,142BC,カルタゴ破壊,パレスチナにユダヤ人国家ハスモン朝が自立。,31.9309,35.0956,none
,141BC,ユダヤ、ハスモン朝自立,漢の武帝が即位。,39.9042,116.4074,none
,140BC,武帝、即位,この年を漢で初めての年号、建元元年とする。,39.9042,116.4074,none
,139BC,張騫、大月氏派遣,漢の武帝、張騫を大月氏に派遣。この年、一説にバクトリア滅亡。,39.9042,116.4074,none
-200,136BC,五経博士設置,漢の武帝が五経博士を置く。,39.9042,116.4074,none
,135BC,シチリア奴隷反乱,シチリアの奴隷反乱（第一次）始まる。,37.0948,14.1287,none
,133BC,ペルガモン献上,ペルガモン王国、領土をローマに献上。反対派はアリストニコスの蜂起を起こすも鎮圧される。,38.9843,26.7297,none
,133BC,グラックス兄改革,ローマでグラックス兄が護民官となり、改革始まる。,41.9028,12.4964,none
,132BC,グラックス兄撲殺,グラックス兄、議場で撲殺される。,41.9028,12.4964,none
,129BC,衛青、匈奴討伐,漢の武帝、将軍衛青に匈奴討伐を命じる。,39.9042,116.4074,none
,126BC,張騫、帰国,張騫、西域から帰国。多くの情報をもたらす。,39.9042,116.4074,none
,123BC,グラックス弟改革,グラックス弟、護民官となる。,41.9028,12.4964,none
,121BC,霍去病、匈奴討伐,漢の将軍霍去病、匈奴を討つ。,39.9042,116.4074,none
,121BC,グラックス弟自殺,グラックス弟、反対派に襲撃され自殺。,41.9028,12.4964,none
,119BC,張騫、烏孫派遣,漢の武帝、張騫を烏孫に派遣。漢、塩・鉄の専売制を導入。後に酒も加えられる。漢、五銖銭を発行。,39.9042,116.4074,none
,115BC,均輸法実施,漢の武帝、桑弘羊の献策を容れ均輸法実施。,39.9042,116.4074,none
,111BC,南越滅亡,漢の武帝、南越を滅ぼしベトナム北部に日南郡など九郡を置く。,21.0285,105.8542,none
,111BC-105BC,ユグルタ戦争,ローマ、北アフリカのヌミディア王とのユグルタ戦争。,36.7383,10.0687,none
,110BC,平準法実施,漢で平準法実施。,39.9042,116.4074,none
,108BC,衛氏朝鮮滅亡,漢の武帝、衛氏朝鮮を滅ぼし、楽浪郡など四郡を置く。,39.9042,116.4074,none
,107BC,マリウス改革,マリウス、ローマの兵制改革を行い職業軍人制を導入。,41.9028,12.4964,none
,104BC,大宛遠征,漢の武帝、大宛（フェルガナ）への遠征開始。,39.9042,116.4074,none
,104BC,第２次奴隷反乱,シチリアの奴隷反乱（第二次）始まる。,37.0948,14.1287,none
,前2世紀,テオティワカン文明興る,メキシコ高原にテオティワカン文明興る。7世紀頃衰退。,19.4902,-99.2603,none
,前2世紀,ローマ内乱時代,ローマで閥族派と平民派の対立、激しくなる。,41.9028,12.4964,none
-100,前1世紀,ローマ内乱時代,ローマ、内乱の１世紀となる。無産市民のパンと見せ物の要求強まる。,41.9028,12.4964,none
-100,99BC,李陵が捕虜に,将軍李陵、匈奴に捕らえられる。,39.9042,116.4074,none
,98BC,司馬遷処罰,司馬遷、宮刑に処せられる。,34.3416,108.9402,none
-100,91BC,『史記』完成,司馬遷が『史記』を完成させる。,39.9042,116.4074,none
,91BC,イタリア同盟戦,イタリア同盟市戦争（～88BC）。スラが鎮圧に当たる。イタリア全土にローマ市民権拡大。,41.9028,12.4964,none
